id,rank,rankUpDown,title,fullTitle,year,image,crew,imDbRating,imDbRatingCount
tt9335498,49,-32,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba (2019),2019,"https://m.media-amazon.com/images/M/MV5BZjZjNzI5MDctY2Y4YS00NmM4LTljMmItZTFkOTExNGI3ODRhXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UX128_CR0,1,128,176_AL_.jpg","Natsuki Hanae, Yoshitsugu Matsuoka",8.8,81653
tt2741602,50,+17,The Blacklist,The Blacklist (2013),2013,"https://m.media-amazon.com/images/M/MV5BNDFkZDI5ZGUtYTdkOC00YTFiLWJjNjMtNTQ3ZjIxMTY2ZjMyXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_UX128_CR0,3,128,176_AL_.jpg","James Spader, Megan Boone",8.1,233466
tt4179452,51,+12,The Last Kingdom,The Last Kingdom (2015),2015,"https://m.media-amazon.com/images/M/MV5BMjE1MzYzNjk3OF5BMl5BanBnXkFtZTgwMzk0MzYwNzE@._V1_UX128_CR0,3,128,176_AL_.jpg","Eliza Butterworth, Alexander Dreymon",8.5,108117
tt10611608,52,+79,The Cuphead Show!,The Cuphead Show! (2022),2022,"https://m.media-amazon.com/images/M/MV5BMmU1YzlhNzUtOWRhNy00N2I0LTk5ODgtMjRjMWI2MjhiYmNkXkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_UX128_CR0,1,128,176_AL_.jpg","Tru Valentino, Frank Todaro",7.7,3580
tt10986410,53,-6,Ted Lasso,Ted Lasso (2020),2020,"https://m.media-amazon.com/images/M/MV5BMDVmODUzNmEtMGMxZC00NWUzLTkxMTAtMDM5OTQzMWE0ZDM3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Jason Sudeikis, Brett Goldstein",8.9,168351
tt0203259,54,+24,Law & Order: Special Victims Unit,Law & Order: Special Victims Unit (1999),1999,"https://m.media-amazon.com/images/M/MV5BYmNkN2RlMzktMDgzNi00OWRmLWI3N2ItYzU5ZGUyMzc3MjJhXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_UX128_CR0,3,128,176_AL_.jpg","Mariska Hargitay, Christopher Meloni",8.1,98355
tt0098904,55,-7,Seinfeld,Seinfeld (1989),1989,"https://m.media-amazon.com/images/M/MV5BZjZjMzQ2ZmUtZWEyZC00NWJiLWFjM2UtMzhmYzZmZDcxMzllXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX128_CR0,1,128,176_AL_.jpg","Jerry Seinfeld, Julia Louis-Dreyfus",8.9,296383
tt8690918,56,+4,Resident Alien,Resident Alien (2021),2021,"https://m.media-amazon.com/images/M/MV5BMTQzODE1MzYtMTM5Mi00YWM1LTgwZTctNTEzMWI2ZGQ3NWM1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,3,128,176_AL_.jpg","Alan Tudyk, Sara Tomko",8.2,32411
tt0472954,57,-11,It's Always Sunny in Philadelphia,It's Always Sunny in Philadelphia (2004),2004,"https://m.media-amazon.com/images/M/MV5BMzg3ODVjZTYtZTAyNC00MzVjLTk3NmUtMGI4ZjZmNGQ1NmY4XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX128_CR0,3,128,176_AL_.jpg","Charlie Day, Glenn Howerton",8.9,213106
tt6048596,58,-22,The Sinner,The Sinner (2017),2017,"https://m.media-amazon.com/images/M/MV5BMjBkZDhkNzUtNDZhZS00ZDE1LWI1MjQtYjQ1OGM3Y2FiMmMwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY176_CR6,0,128,176_AL_.jpg","Bill Pullman, Jessica Hecht",7.9,114442
